ImageId,Label
1,2
2,0
3,9
4,1
5,1
6,9
7,0
8,3
9,0
10,3
11,1
12,7
13,7
14,0
15,4
16,1
17,1
18,1
19,9
20,0
21,9
22,1
23,1
24,1
25,7
26,9
27,2
28,7
29,7
30,7
31,7
32,5
33,1
34,1
35,6
36,1
37,9
38,5
39,1
40,6
41,7
42,7
43,4
44,9
45,1
46,7
47,1
48,1
49,6
50,1
51,6
52,8
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,8
74,8
75,2
76,0
77,3
78,9
79,1
80,1
81,9
82,9
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,1
96,4
97,3
98,7
99,7
100,4
101,0
102,1
103,1
104,0
105,7
106,3
107,0
108,5
109,0
110,3
111,1
112,0
113,1
114,1
115,1
116,7
117,1
118,1
119,1
120,3
121,3
122,7
123,2
124,1
125,6
126,1
127,1
128,7
129,1
130,7
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,1
140,0
141,9
142,3
143,1
144,1
145,5
146,1
147,7
148,7
149,1
150,1
151,1
152,1
153,5
154,6
155,7
156,1
157,7
158,7
159,7
160,1
161,3
162,0
163,4
164,1
165,1
166,1
167,7
168,6
169,1
170,0
171,0
172,7
173,7
174,6
175,1
176,1
177,7
178,1
179,1
180,2
181,4
182,1
183,1
184,1
185,4
186,9
187,1
188,1
189,6
190,0
191,6
192,1
193,4
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,7
216,2
217,1
218,6
219,3
220,4
221,2
222,1
223,1
224,0
225,2
226,0
227,9
228,6
229,1
230,0
231,0
232,6
233,9
234,1
235,7
236,3
237,7
238,1
239,8
240,6
241,8
242,6
243,2
244,3
245,5
246,5
247,1
248,1
249,1
250,4
251,9
252,7
253,1
254,3
255,1
256,1
257,1
258,1
259,4
260,7
261,1
262,1
263,1
264,5
265,7
266,0
267,6
268,8
269,1
270,1
271,6
272,0
273,6
274,3
275,9
276,6
277,1
278,1
279,8
280,4
281,0
282,9
283,2
284,0
285,1
286,1
287,9
288,1
289,7
290,9
291,1
292,7
293,7
294,9
295,9
296,6
297,8
298,0
299,1
300,3
301,6
302,9
303,1
304,1
305,6
306,1
307,7
308,1
309,1
310,1
311,8
312,5
313,9
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,9
325,8
326,1
327,1
328,1
329,0
330,7
331,6
332,3
333,1
334,1
335,0
336,7
337,0
338,0
339,6
340,9
341,6
342,1
343,1
344,8
345,1
346,0
347,6
348,1
349,0
350,8
351,6
352,7
353,7
354,1
355,7
356,1
357,1
358,9
359,0
360,1
361,7
362,6
363,3
364,1
365,9
366,0
367,3
368,8
369,1
370,6
371,1
372,5
373,7
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,5
384,4
385,2
386,6
387,1
388,1
389,3
390,1
391,1
392,7
393,7
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,9
408,3
409,8
410,0
411,5
412,1
413,4
414,1
415,2
416,7
417,1
418,1
419,3
420,1
421,9
422,6
423,6
424,1
425,1
426,1
427,9
428,9
429,7
430,7
431,4
432,8
433,5
434,2
435,1
436,1
437,1
438,9
439,5
440,0
441,1
442,4
443,7
444,4
445,1
446,4
447,1
448,5
449,1
450,9
451,9
452,7
453,6
454,9
455,3
456,9
457,2
458,3
459,1
460,6
461,1
462,7
463,1
464,0
465,1
466,1
467,7
468,9
469,4
470,1
471,1
472,4
473,9
474,5
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,0
483,1
484,1
485,7
486,9
487,1
488,8
489,3
490,7
491,0
492,9
493,1
494,4
495,1
496,7
497,1
498,3
499,1
500,0
501,1
