ImageId,Label
1,2
2,0
3,9
4,2
5,2
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,4
14,0
15,4
16,5
17,5
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,9
27,2
28,7
29,7
30,7
31,7
32,5
33,4
34,2
35,6
36,2
37,5
38,5
39,1
40,6
41,7
42,7
43,4
44,9
45,8
46,7
47,8
48,8
49,6
50,1
51,6
52,8
53,8
54,3
55,8
56,2
57,1
58,8
59,9
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,8
74,8
75,2
76,8
77,3
78,9
79,2
80,8
81,5
82,9
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,1
96,4
97,3
98,9
99,7
100,7
101,0
102,8
103,2
104,0
105,7
106,3
107,0
108,5
109,0
110,4
111,6
112,0
113,4
114,7
115,1
116,7
117,1
118,1
119,5
120,3
121,3
122,7
123,2
124,8
125,6
126,3
127,8
128,7
129,8
130,4
131,5
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,5
140,6
141,6
142,3
143,4
144,5
145,5
146,8
147,7
148,7
149,2
150,8
151,4
152,3
153,5
154,6
155,5
156,3
157,7
158,5
159,7
160,8
161,3
162,0
163,4
164,3
165,1
166,8
167,7
168,6
169,5
170,0
171,2
172,7
173,8
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,8
183,5
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,4
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,8
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,6
227,9
228,6
229,1
230,0
231,0
232,4
233,9
234,1
235,7
236,3
237,2
238,8
239,8
240,6
241,8
242,6
243,2
244,8
245,5
246,5
247,9
248,8
249,3
250,8
251,9
252,7
253,1
254,3
255,8
256,4
257,5
258,1
259,4
260,2
261,6
262,3
263,3
264,5
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,9
276,8
277,1
278,5
279,8
280,4
281,0
282,9
283,2
284,0
285,5
286,3
287,7
288,8
289,4
290,9
291,5
292,7
293,7
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,8
304,2
305,6
306,2
307,7
308,1
309,4
310,5
311,8
312,5
313,9
314,0
315,0
316,3
317,8
318,4
319,1
320,8
321,4
322,1
323,1
324,9
325,8
326,4
327,5
328,1
329,5
330,7
331,6
332,3
333,1
334,3
335,0
336,9
337,0
338,6
339,6
340,0
341,6
342,2
343,1
344,8
345,6
346,0
347,6
348,5
349,2
350,8
351,6
352,7
353,7
354,2
355,5
356,8
357,8
358,9
359,2
360,9
361,8
362,6
363,3
364,8
365,9
366,2
367,3
368,8
369,1
370,6
371,9
372,8
373,7
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,5
384,4
385,2
386,6
387,2
388,1
389,3
390,7
391,1
392,7
393,9
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,4
408,3
409,8
410,8
411,5
412,8
413,4
414,1
415,2
416,7
417,1
418,1
419,3
420,5
421,4
422,6
423,6
424,8
425,3
426,1
427,9
428,7
429,7
430,7
431,4
432,8
433,5
434,2
435,6
436,1
437,3
438,4
439,5
440,0
441,8
442,4
443,7
444,4
445,9
446,4
447,1
448,5
449,3
450,9
451,5
452,7
453,6
454,9
455,5
456,9
457,2
458,3
459,5
460,6
461,6
462,7
463,5
464,0
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,9
474,5
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,7
486,9
487,4
488,8
489,3
490,7
491,0
492,4
493,3
494,4
495,6
496,7
497,8
498,3
499,2
500,0
501,6
